STATE,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,"CRIMINAL
CASES",AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,TOTAL ELECTORS
Lakshadweep,LAKSHADWEEP,DR. MOHAMMED SADIQUE KP,0,JD(U),MALE,0,64,ST,Post Graduate,"Rs 4,97,83,111
 ~ 4 Crore+","Rs 28,87,460
 ~ 28 Lacs+",55189
Lakshadweep,LAKSHADWEEP,MOHAMMED FAIZAL PP,1,NCP,MALE,2,43,ST,Post Graduate,"Rs 9,38,641
 ~ 9 Lacs+","Rs 0
 ~",55189
Lakshadweep,LAKSHADWEEP,HAMDULLAH SAYEED,0,INC,MALE,0,36,ST,Graduate Professional,"Rs 9,50,47,817
 ~ 9 Crore+","Rs 4,45,771
 ~ 4 Lacs+",55189
Daman & Diu,DAMAN & DIU,LALUBHAI BABUBHAI PATEL,1,BJP,MALE,0,63,GENERAL,8th Pass,"Rs 21,39,93,750
 ~ 21 Crore+","Rs 99,69,514
 ~ 99 Lacs+",121740
Jammu & Kashmir,LADAKH,SAJJAD HUSSAIN,0,IND,MALE,0,37,ST,Post Graduate,"Rs 1,09,000
 ~ 1 Lacs+","Rs 0
 ~",179232
Jammu & Kashmir,LADAKH,ASGAR ALI KARBALAI,0,IND,MALE,0,54,ST,10th Pass,"Rs 27,29,608
 ~ 27 Lacs+","Rs 0
 ~",179232
Jammu & Kashmir,LADAKH,RIGZIN SPALBAR,0,INC,MALE,0,61,ST,Graduate,"Rs 5,83,18,908
 ~ 5 Crore+","Rs 87,65,000
 ~ 87 Lacs+",179232
Jammu & Kashmir,LADAKH,JAMYANG TSERING NAMGYAL,1,BJP,MALE,1,33,ST,Graduate,"Rs 9,81,904
 ~ 9 Lacs+","Rs 0
 ~",179232
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,SANJAY MESHACK,0,AAP,MALE,0,49,GENERAL,12th Pass,"Rs 9,98,87,782
 ~ 9 Crore+","Rs 17,91,076
 ~ 17 Lacs+",318471
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,PRAKASH MINJ,0,BSP,MALE,0,43,SC,Post Graduate,"Rs 12,50,000
 ~ 12 Lacs+","Rs 2,40,000
 ~ 2 Lacs+",318471
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,1,INC,MALE,0,52,GENERAL,Graduate Professional,"Rs 13,22,33,012
 ~ 13 Crore+","Rs 8,04,50,870
 ~ 8 Crore+",318471
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,PARITOSH KUMAR HALDAR,0,IND,MALE,0,61,GENERAL,Post Graduate,"Rs 1,99,16,000
 ~ 1 Crore+","Rs 13,11,000
 ~ 13 Lacs+",318471
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,VISHAL JOLLY,0,BJP,MALE,1,46,GENERAL,Graduate Professional,"Rs 8,51,40,573
 ~ 8 Crore+","Rs 46,33,914
 ~ 46 Lacs+",318471
Sikkim,SIKKIM,BHARAT BASNETT,0,INC,MALE,0,58,GENERAL,10th Pass,"Rs 4,16,50,325
 ~ 4 Crore+","Rs 0
 ~",434128
Sikkim,SIKKIM,LATEN TSHERING SHERPA,0,BJP,MALE,0,33,ST,5th Pass,"Rs 5,63,879
 ~ 5 Lacs+","Rs 0
 ~",434128
Sikkim,SIKKIM,INDRA HANG SUBBA,1,SKM,MALE,0,30,GENERAL,Post Graduate,"Rs 4,78,817
 ~ 4 Lacs+","Rs 0
 ~",434128
Sikkim,SIKKIM,DEK BAHADUR KATWAL,0,SDF,MALE,0,42,GENERAL,Graduate Professional,"Rs 27,89,212
 ~ 27 Lacs+","Rs 4,36,959
 ~ 4 Lacs+",434128
